SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--innodb-buffer-pool-size` = '20971520'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--threads`	`Avg_Latency(ms)`
200000	1	2.91
400000	100	107.38
800000	100	153.36
400000	1	3.22
600000	1	3.31
800000	50	71.74
600000	100	129.16
10	100	192.41
1000000	1	3.45
800000	1	3.39
200000	50	41.95
1000000	100	177.64
1000000	50	76.39
200000	100	83.75
400000	50	51.05
10	1	1.39
600000	50	65.1
40000	1	2.29
10	50	55.33
40000	100	68.16
40000	50	33.27
