SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--innodb-buffer-pool-size` = '20971520'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--threads`	`Avg_Latency(ms)`
600000	50	61.89
40000	50	32.35
600000	1	3.36
400000	50	53.78
10	50	54.84
200000	50	42.6
200000	1	2.91
10	1	1.39
1000000	1	3.46
200000	100	83.49
1000000	100	173.09
1000000	50	81.1
800000	50	72.51
800000	1	3.38
600000	100	131.92
10	100	199.06
40000	1	2.28
400000	1	3.18
400000	100	104.85
800000	100	160.5
40000	100	71.29
