SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--innodb-buffer-pool-size` = '104857600'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--threads`	`Avg_Latency(ms)`
10	50	54.71
600000	50	44.83
400000	50	35.48
200000	50	29.84
10	100	190.18
800000	50	49.86
200000	1	2.04
600000	100	88.6
1000000	1	2.7
600000	1	2.46
800000	1	2.57
800000	100	99.48
10	1	1.37
1000000	50	55.73
200000	100	61.7
40000	50	22.56
40000	1	1.87
1000000	100	113.8
400000	1	2.27
400000	100	70.46
40000	100	44.06
