SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--innodb-buffer-pool-size` = '20971520'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--threads`	`Avg_Latency(ms)`
400000	100	105.77
800000	50	72.58
800000	1	3.39
200000	1	2.87
600000	100	135.2
10	1	1.38
200000	100	85.71
600000	1	3.29
40000	100	70.69
1000000	50	79.81
1000000	100	177.65
10	50	55.43
600000	50	63.86
10	100	194.86
400000	1	3.17
800000	100	152.66
40000	50	33.49
1000000	1	3.52
400000	50	51.72
40000	1	2.22
200000	50	41.72
