SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--innodb-buffer-pool-size` = '20971520'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--threads`	`Avg_Latency(ms)`
600000	100	142.78
10	50	54.06
200000	100	82.92
1000000	100	170.21
400000	1	3.19
40000	1	2.26
800000	1	3.37
10	100	193.03
400000	100	107.77
40000	50	32.84
1000000	50	79.25
800000	100	160.62
10	1	1.39
800000	50	73.43
200000	50	41.35
600000	1	3.3
400000	50	53.16
600000	50	64.41
40000	100	73.36
1000000	1	3.57
200000	1	2.88
