SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--innodb-buffer-pool-size` = '5242880'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--threads`	`Avg_Latency(ms)`
200000	1	3.45
40000	50	50.33
200000	50	74.78
10	1	1.42
800000	1	3.78
200000	100	167.83
600000	100	238.1
800000	100	279.48
600000	1	3.72
10	50	56.37
40000	1	2.83
10	100	210.12
800000	50	106.42
1000000	1	3.88
400000	50	83.54
1000000	100	284.36
400000	100	194.79
600000	50	96.02
400000	1	3.68
40000	100	118.93
1000000	50	113.45
