SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--innodb-buffer-pool-size` = '5242880'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--threads`	`Avg_Latency(ms)`
1000000	100	292.51
40000	100	116.04
10	100	209.96
200000	100	165.41
600000	100	220.58
400000	50	86.54
10	50	56.59
1000000	1	3.85
200000	1	3.42
1000000	50	114.11
400000	1	3.68
400000	100	197.82
40000	50	50.28
10	1	1.43
800000	50	108.86
200000	50	70.51
600000	1	3.76
40000	1	2.82
600000	50	98.49
800000	1	3.71
800000	100	267.91
