SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '262144' AND `--innodb-buffer-pool-size` = '20971520'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--threads`	`Avg_Latency(ms)`
600000	100	133.51
600000	50	63.54
40000	100	68.61
800000	100	154.6
10	1	1.38
200000	100	85.86
800000	1	3.36
1000000	100	182.31
40000	1	2.21
40000	50	33.04
400000	100	104.65
200000	50	41.25
10	50	53.97
1000000	50	79.44
10	100	193.03
1000000	1	3.47
800000	50	72.09
600000	1	3.28
400000	1	3.16
200000	1	2.87
400000	50	51.33
