SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--innodb-buffer-pool-size` = '52428800'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--threads`	`Avg_Latency(ms)`
400000	100	82.18
10	100	192.11
400000	1	2.56
40000	50	24.22
40000	1	1.85
800000	100	119.92
200000	1	2.24
200000	100	68.4
200000	50	34.97
1000000	50	63.2
1000000	100	125.31
800000	1	2.87
40000	100	49.78
800000	50	54.19
400000	50	41.8
600000	50	54.25
1000000	1	2.97
10	1	1.37
10	50	53.48
600000	1	2.75
600000	100	97.95
