SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--table-size` = '800000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	2097152	4230.73
50	6291456	4448.01
1	262144	103.45
1	2097152	104.29
100	2097152	8590.68
100	6291456	8071.65
100	3145728	7417.78
100	1048576	8238.28
1	1048576	103.2
50	1048576	5069.26
1	6291456	104.46
1	524288	103.59
50	3145728	4584.34
1	3145728	102.62
100	524288	7873.69
100	262144	8559.89
50	524288	4171.63
50	262144	4616.29
