SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--table-size` = '400000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	3145728	5790.37
1	3145728	105.45
100	2097152	7389.61
50	524288	5400.77
50	6291456	6097.52
100	262144	8323.41
50	2097152	5868.93
50	262144	5684.76
100	3145728	7987.21
1	1048576	104.36
100	1048576	7807.24
1	524288	104.56
1	2097152	106.25
1	6291456	105.54
50	1048576	5336.7
1	262144	104.29
100	6291456	7922.7
100	524288	7765.59
