SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--table-size` = '10'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
1	262144	35.47
50	3145728	1861.94
50	524288	1807.43
100	2097152	5212.31
50	1048576	1920.88
100	1048576	4847.01
100	524288	5010.72
100	3145728	4679.76
50	262144	1867.93
1	524288	35.68
50	6291456	1858.07
100	262144	5191.72
1	3145728	35.78
1	1048576	36.29
1	2097152	36.23
100	6291456	4948.62
50	2097152	1891.44
1	6291456	35.93
