SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--table-size` = '1000000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	262144	3731.47
50	1048576	3581.94
50	3145728	4069.21
100	3145728	6745.73
1	6291456	94.5
50	524288	3510.98
100	2097152	7259.27
50	2097152	3715.26
50	6291456	3739.0
1	262144	96.14
1	3145728	92.13
100	6291456	6849.86
1	524288	94.73
1	1048576	95.47
1	2097152	96.73
100	262144	7489.24
100	524288	8450.56
100	1048576	6912.09
