SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--table-size` = '400000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	2097152	4460.42
1	524288	78.33
100	2097152	7190.4
50	524288	4251.69
50	3145728	4281.32
1	262144	80.34
1	6291456	79.57
1	3145728	79.02
50	262144	4495.7
1	1048576	78.25
50	1048576	4913.41
100	262144	7422.94
1	2097152	80.68
100	1048576	7371.09
100	3145728	7262.85
100	524288	6492.61
50	6291456	4713.58
100	6291456	6787.74
