SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--table-size` = '200000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
100	1048576	7216.33
100	3145728	8739.91
1	524288	102.38
100	2097152	8599.6
1	262144	100.4
100	262144	8438.36
1	2097152	101.81
1	6291456	100.66
100	524288	8623.95
100	6291456	7970.22
50	2097152	6236.8
50	524288	6173.76
50	262144	5696.34
1	3145728	102.77
1	1048576	100.48
50	3145728	5672.71
50	6291456	6497.8
50	1048576	5708.83
