SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--table-size` = '1000000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
100	1048576	10378.09
50	524288	6120.12
50	1048576	5725.22
1	6291456	167.44
1	262144	166.27
50	262144	5568.17
100	2097152	9386.88
1	1048576	167.23
50	3145728	6349.79
50	6291456	5384.95
1	524288	165.99
100	6291456	9277.7
50	2097152	6158.84
1	3145728	167.01
100	3145728	10233.02
100	262144	10432.02
100	524288	9669.53
1	2097152	168.97
