SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '10485760' AND `--table-size` = '200000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
100	1048576	8120.21
100	262144	7313.93
50	262144	5668.74
1	3145728	91.49
100	6291456	8033.55
50	1048576	5827.14
50	2097152	6015.11
1	1048576	89.13
50	6291456	5876.81
100	2097152	6567.7
1	2097152	90.0
1	524288	88.6
1	6291456	87.22
50	3145728	6370.78
100	524288	8660.91
50	524288	6419.98
100	3145728	8131.5
1	262144	88.06
