SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--table-size` = '40000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	3145728	4524.29
50	524288	4557.83
50	262144	4436.53
100	1048576	6236.41
1	2097152	59.13
1	1048576	58.17
1	3145728	58.31
100	3145728	7029.81
100	2097152	7384.06
50	1048576	4754.55
100	262144	7648.89
100	524288	7575.36
1	6291456	57.64
100	6291456	7601.85
1	524288	57.35
50	2097152	4528.6
1	262144	57.18
50	6291456	4340.98
