SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--table-size` = '10'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	3145728	1889.42
1	2097152	35.46
100	2097152	4923.44
50	2097152	1845.59
1	6291456	35.78
100	1048576	5143.28
1	524288	36.28
50	262144	1817.64
50	524288	1807.31
1	262144	35.68
50	1048576	1872.44
1	1048576	35.52
1	3145728	36.06
100	524288	4766.24
100	6291456	4956.7
100	3145728	4885.75
50	6291456	1816.77
100	262144	4816.92
