SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--table-size` = '40000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
1	524288	42.93
1	262144	41.85
1	1048576	42.25
1	3145728	41.58
100	262144	5715.35
1	2097152	41.98
100	2097152	6016.21
100	524288	6130.88
50	3145728	2003.5
1	6291456	42.17
50	2097152	2088.58
100	3145728	6059.72
50	262144	1979.13
50	1048576	1990.32
100	1048576	5907.72
100	6291456	5770.87
50	524288	2062.21
50	6291456	2077.46
