SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--table-size` = '800000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
1	1048576	158.78
1	6291456	159.67
1	3145728	157.0
50	3145728	6363.92
100	6291456	9718.85
100	1048576	9164.07
100	2097152	9999.17
50	6291456	7065.52
1	262144	161.35
50	524288	6848.12
50	1048576	6686.96
1	524288	159.2
100	524288	9930.21
50	2097152	6249.48
100	262144	10364.33
100	3145728	9947.78
50	262144	6617.33
1	2097152	161.7
