SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '10485760' AND `--table-size` = '40000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
100	1048576	6503.5
1	2097152	55.1
1	6291456	53.86
1	524288	54.39
50	524288	3892.8
100	262144	6740.76
100	6291456	6886.53
50	2097152	3715.18
50	1048576	3972.54
50	262144	3791.5
1	262144	54.37
100	2097152	6829.86
1	1048576	55.2
100	3145728	7041.01
1	3145728	54.12
50	3145728	3911.11
50	6291456	3750.9
100	524288	7018.27
