SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--table-size` = '600000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
1	1048576	74.78
1	3145728	74.65
1	262144	74.39
50	524288	3900.15
100	1048576	5540.84
1	524288	73.82
50	2097152	4145.78
50	3145728	3498.15
100	6291456	7452.44
100	2097152	6901.45
100	524288	6976.46
50	262144	3809.9
100	262144	7275.64
100	3145728	6805.95
50	1048576	3600.18
1	2097152	74.63
50	6291456	3684.25
1	6291456	76.96
