SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--table-size` = '600000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	2097152	4943.28
50	3145728	4798.35
100	2097152	7130.75
100	524288	7483.96
100	3145728	7980.38
50	524288	4450.68
1	262144	91.02
100	262144	7772.66
50	6291456	5052.83
50	262144	4866.56
50	1048576	4745.05
1	524288	92.12
1	6291456	92.14
1	1048576	92.92
100	6291456	8128.21
1	3145728	92.67
100	1048576	6723.78
1	2097152	93.17
