SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--table-size` = '1000000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
100	524288	9129.08
1	6291456	140.55
100	1048576	9293.51
50	2097152	5164.68
50	6291456	5345.08
1	2097152	141.52
100	2097152	9708.72
100	3145728	9214.0
50	524288	5014.25
1	262144	142.74
50	262144	5478.42
100	262144	9887.37
1	3145728	144.51
50	1048576	4980.33
1	524288	141.49
50	3145728	5152.94
100	6291456	8978.71
1	1048576	142.43
