SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '10485760' AND `--table-size` = '800000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
100	3145728	9870.9
100	2097152	9751.71
1	1048576	139.45
1	524288	145.44
100	1048576	9090.12
50	6291456	6064.04
100	262144	8697.55
50	3145728	5100.35
50	1048576	5419.66
50	524288	5149.08
1	3145728	141.62
100	6291456	9273.39
1	2097152	141.63
50	262144	6291.53
1	6291456	140.32
1	262144	143.84
50	2097152	5329.63
100	524288	8994.64
