SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--table-size` = '1000000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
100	1048576	8199.44
50	6291456	4340.11
100	262144	8122.06
100	2097152	8157.91
1	1048576	110.99
1	6291456	109.33
1	262144	111.96
50	1048576	4330.85
1	524288	111.23
100	6291456	8773.76
1	2097152	112.64
50	262144	4008.45
50	524288	5614.75
100	3145728	7787.92
50	2097152	4822.66
1	3145728	111.32
100	524288	9516.45
50	3145728	5207.1
