SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--table-size` = '10'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	3145728	1837.82
50	6291456	1803.48
100	6291456	5064.71
1	3145728	35.72
1	6291456	35.59
100	3145728	4832.18
1	2097152	35.5
100	2097152	4985.67
50	2097152	1876.35
100	524288	5233.05
100	262144	5233.5
1	524288	36.3
1	1048576	36.08
50	524288	1875.08
100	1048576	4901.2
50	262144	1848.78
50	1048576	1903.78
1	262144	36.29
