SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--table-size` = '400000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	3145728	6070.78
1	524288	130.13
1	3145728	130.84
50	262144	6370.97
1	2097152	127.87
100	2097152	7917.74
1	6291456	129.3
100	262144	8561.14
100	1048576	9162.23
100	3145728	9575.24
100	524288	8087.24
1	262144	130.59
50	1048576	6396.04
100	6291456	8392.66
50	524288	6808.32
1	1048576	132.49
50	6291456	6621.74
50	2097152	6615.96
