SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--table-size` = '40000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	262144	1726.92
100	6291456	5270.81
1	2097152	41.11
100	2097152	5225.4
50	524288	2034.19
50	2097152	1800.14
100	524288	5032.4
1	262144	40.94
1	3145728	40.43
100	1048576	5375.95
50	6291456	1779.31
50	3145728	1765.43
100	262144	5420.58
100	3145728	5391.86
1	1048576	40.0
1	524288	40.71
50	1048576	1760.77
1	6291456	40.18
