SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--table-size` = '800000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
100	6291456	9770.28
100	262144	8777.01
100	2097152	7963.39
100	3145728	9580.57
50	3145728	4846.01
50	6291456	5484.93
1	6291456	135.54
50	1048576	5854.61
100	1048576	8971.32
1	1048576	134.19
50	524288	5029.8
50	262144	4908.76
50	2097152	5670.64
1	524288	134.86
1	2097152	133.71
1	3145728	132.26
1	262144	130.86
100	524288	9402.06
