SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '10485760' AND `--table-size` = '600000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
100	524288	7946.99
50	262144	7025.03
50	524288	5648.77
50	1048576	6264.02
100	3145728	9655.47
1	6291456	133.61
1	262144	130.65
100	2097152	9637.04
100	262144	9132.49
1	1048576	129.15
1	3145728	131.23
50	3145728	5453.53
1	524288	130.96
100	6291456	9557.72
50	2097152	5355.35
50	6291456	5265.69
100	1048576	9550.55
1	2097152	133.55
