SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--table-size` = '10'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	524288	872.7
50	1048576	888.3
1	3145728	18.35
100	2097152	2538.13
1	2097152	18.45
50	262144	858.9
1	1048576	18.65
100	1048576	2691.5
50	2097152	906.33
100	3145728	2599.63
50	6291456	893.7
1	524288	18.2
100	524288	2569.02
100	6291456	2587.64
50	3145728	863.63
1	6291456	18.31
100	262144	2547.59
1	262144	18.41
