SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--table-size` = '600000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
100	262144	4551.8
100	524288	4879.78
1	2097152	64.66
100	3145728	4462.4
50	524288	2037.46
1	3145728	62.99
1	1048576	63.38
1	524288	64.2
50	1048576	1817.56
1	6291456	63.9
50	262144	1970.33
1	262144	64.02
100	6291456	4721.09
50	3145728	1968.82
50	6291456	2045.18
100	2097152	4306.3
100	1048576	4708.6
50	2097152	1948.49
