SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--table-size` = '1000000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
100	3145728	3489.04
100	524288	3449.4
1	524288	58.51
100	6291456	3692.45
50	1048576	1473.42
50	3145728	1649.28
100	1048576	3685.24
1	1048576	59.29
50	6291456	1212.06
1	2097152	59.28
50	2097152	1745.24
1	3145728	59.35
1	262144	59.82
100	262144	3536.11
100	2097152	3462.77
50	262144	1445.62
1	6291456	59.38
50	524288	1476.93
