SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--table-size` = '200000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
1	3145728	45.96
100	6291456	5829.2
100	3145728	6154.35
50	6291456	2374.62
1	524288	45.13
100	524288	6095.98
1	2097152	45.67
50	262144	2332.49
50	524288	2315.35
1	1048576	45.18
50	2097152	2248.75
50	1048576	2257.88
1	6291456	45.02
100	262144	5762.23
100	2097152	5873.7
50	3145728	2308.73
100	1048576	5817.73
1	262144	45.47
