SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--table-size` = '1000000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
1	524288	49.74
100	1048576	2942.38
1	3145728	49.94
50	2097152	1296.87
100	6291456	3055.27
100	524288	2943.43
1	1048576	49.75
50	6291456	1157.47
100	2097152	3051.53
1	262144	50.14
100	3145728	2693.21
50	524288	1374.86
1	6291456	51.14
50	262144	1270.07
50	3145728	1172.88
50	1048576	1326.48
100	262144	2714.31
1	2097152	49.5
