SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--table-size` = '200000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	524288	731.79
50	2097152	719.51
100	524288	2352.14
1	3145728	24.34
100	262144	2340.54
100	6291456	2245.14
1	524288	24.66
100	2097152	2310.9
1	1048576	24.48
50	6291456	721.16
1	2097152	24.13
50	1048576	724.63
100	3145728	2336.86
50	3145728	698.64
1	262144	24.43
100	1048576	2247.87
50	262144	732.27
1	6291456	24.8
