SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '10485760' AND `--table-size` = '200000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	3145728	2815.39
1	262144	49.34
1	2097152	49.07
1	1048576	49.06
100	262144	6405.59
50	1048576	2855.77
50	2097152	2765.77
1	6291456	49.67
100	2097152	6517.49
50	524288	2658.87
100	524288	5731.02
100	6291456	6157.03
100	1048576	6154.4
50	262144	2792.99
1	3145728	49.09
100	3145728	6490.03
1	524288	48.68
50	6291456	2669.43
