SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--table-size` = '800000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	2097152	1549.58
1	2097152	55.86
1	524288	55.49
1	1048576	55.28
100	6291456	2793.15
100	2097152	3417.87
50	524288	1386.89
100	1048576	3540.06
50	3145728	1525.98
100	262144	3304.51
50	1048576	1424.95
1	3145728	54.35
1	262144	55.49
100	524288	3448.91
1	6291456	55.91
50	6291456	1551.53
100	3145728	3297.83
50	262144	1493.38
