SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '10485760' AND `--table-size` = '40000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
1	6291456	30.9
100	524288	5926.39
100	6291456	5808.76
50	1048576	2122.42
1	524288	30.66
100	1048576	6065.92
100	3145728	5987.51
1	3145728	30.7
1	2097152	30.79
1	262144	30.32
50	262144	2131.1
50	524288	2230.5
1	1048576	30.03
50	3145728	2213.07
100	262144	6176.52
50	2097152	2055.61
50	6291456	2310.48
100	2097152	6137.74
