SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--table-size` = '40000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	1048576	2754.42
100	524288	5788.3
100	2097152	5926.39
1	1048576	32.9
100	1048576	5719.82
50	6291456	2770.5
50	524288	2519.96
50	3145728	2560.78
1	2097152	33.42
1	3145728	33.38
1	262144	32.79
1	524288	32.59
100	6291456	6161.37
100	262144	5907.3
100	3145728	6040.17
50	2097152	2547.07
50	262144	2591.42
1	6291456	33.03
