SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--table-size` = '10'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
100	524288	2498.73
1	1048576	18.28
1	2097152	18.21
1	3145728	18.05
50	2097152	863.99
1	262144	18.32
100	2097152	2442.63
100	6291456	2617.56
50	262144	865.12
100	1048576	2602.63
100	3145728	2567.19
1	524288	18.6
50	1048576	876.98
1	6291456	17.93
50	524288	864.51
100	262144	2526.04
50	3145728	864.98
50	6291456	864.93
