SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--table-size` = '400000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	1048576	1497.56
1	262144	42.28
50	2097152	1627.87
100	262144	3490.54
100	3145728	3833.11
100	2097152	3939.17
1	1048576	42.19
1	2097152	41.87
1	6291456	42.29
100	1048576	3894.89
50	262144	1516.47
50	6291456	1486.19
100	6291456	3993.38
50	524288	1472.54
100	524288	4137.81
1	524288	42.24
1	3145728	42.18
50	3145728	1604.86
