SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--table-size` = '400000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
1	1048576	69.08
1	524288	67.28
100	262144	6453.9
1	262144	69.31
50	524288	2557.6
1	6291456	68.51
50	3145728	2632.68
50	6291456	2377.07
1	2097152	67.59
100	6291456	6275.97
50	2097152	2560.7
100	2097152	5622.43
100	524288	5833.88
100	3145728	6134.85
100	1048576	5600.81
1	3145728	68.89
50	1048576	2360.41
50	262144	2219.77
