SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--table-size` = '800000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
1	2097152	44.9
1	524288	44.7
1	3145728	45.55
100	524288	3043.1
100	6291456	2959.54
50	1048576	1007.07
1	6291456	44.87
50	6291456	1186.95
100	3145728	2972.23
1	262144	45.17
50	524288	1268.99
100	262144	2734.69
50	262144	1258.85
50	3145728	1147.89
100	1048576	2800.4
100	2097152	2818.79
50	2097152	1294.6
1	1048576	44.92
