SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--table-size` = '10'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	6291456	839.39
50	3145728	871.5
1	3145728	18.18
100	6291456	2429.92
100	1048576	2579.33
1	262144	17.85
1	2097152	18.52
50	262144	864.41
50	1048576	897.52
1	6291456	18.37
1	524288	18.42
100	2097152	2593.53
100	3145728	2579.46
100	524288	2484.9
100	262144	2498.23
1	1048576	18.31
50	2097152	862.64
50	524288	852.38
