SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--table-size` = '10'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
1	3145728	18.03
50	1048576	1005.5
50	2097152	897.77
1	2097152	18.45
100	262144	2536.94
100	3145728	2548.93
100	1048576	2533.33
100	6291456	2603.83
1	1048576	18.21
50	3145728	899.9
50	262144	889.22
1	524288	18.14
100	524288	2511.54
50	6291456	894.11
1	262144	18.31
1	6291456	18.45
100	2097152	2520.22
50	524288	887.46
