SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--table-size` = '1000000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
100	2097152	4143.26
1	6291456	72.34
50	6291456	1597.81
1	1048576	73.13
100	3145728	3887.47
1	524288	73.21
100	6291456	3950.16
1	262144	72.01
100	1048576	3786.56
50	262144	1978.73
1	2097152	73.09
1	3145728	74.09
100	524288	4213.94
100	262144	3692.85
50	524288	1950.01
50	2097152	1951.59
50	1048576	1868.5
50	3145728	1878.52
