SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--table-size` = '600000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	3145728	1079.58
1	3145728	39.5
1	524288	38.82
100	524288	2846.05
1	262144	39.4
100	6291456	3037.38
50	1048576	1200.49
50	2097152	1175.36
100	3145728	2958.63
100	2097152	2835.59
50	262144	1313.85
1	1048576	39.07
1	2097152	39.3
50	6291456	1113.32
50	524288	1218.91
100	1048576	3000.66
1	6291456	39.26
100	262144	3142.09
