SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--table-size` = '1000000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	2097152	2381.69
100	2097152	5195.59
1	6291456	85.85
1	2097152	85.94
100	262144	5236.4
100	524288	4937.02
1	524288	86.1
100	1048576	4935.06
50	1048576	2224.58
100	3145728	4849.41
1	1048576	86.54
50	3145728	2351.35
50	524288	2438.5
1	262144	85.67
50	6291456	2374.59
50	262144	2188.26
100	6291456	5244.6
1	3145728	87.77
