SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--table-size` = '800000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
1	524288	69.45
50	6291456	1683.69
50	3145728	1654.21
1	3145728	69.62
100	6291456	4487.28
1	262144	70.23
1	1048576	68.69
50	524288	1831.27
100	1048576	4787.61
50	262144	2080.6
1	2097152	67.84
100	3145728	4459.07
50	2097152	1683.58
100	262144	4614.0
1	6291456	69.58
100	524288	4252.64
50	1048576	1806.89
100	2097152	3631.64
