SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--table-size` = '600000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
1	6291456	49.63
1	524288	48.39
50	6291456	1406.29
1	3145728	48.77
50	524288	1370.6
100	6291456	3533.53
1	2097152	49.02
50	2097152	1626.78
50	1048576	1713.1
1	1048576	49.6
50	262144	1328.68
100	262144	4002.45
100	2097152	3953.14
100	524288	4068.67
50	3145728	1615.85
1	262144	49.67
100	1048576	3237.4
100	3145728	3479.97
