SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--threads` = '1'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
400000	5242880	130.84
40000	20971520	49.26
600000	104857600	74.65
800000	104857600	86.28
200000	10485760	91.49
800000	5242880	157.0
600000	5242880	144.35
10	5242880	35.72
400000	10485760	117.26
200000	52428800	58.35
400000	20971520	105.45
40000	52428800	41.58
1000000	10485760	150.37
40000	104857600	40.43
40000	5242880	58.31
400000	52428800	79.02
600000	20971520	119.63
1000000	104857600	92.13
600000	10485760	131.23
400000	104857600	60.08
200000	5242880	102.77
10	52428800	35.21
800000	10485760	141.62
1000000	20971520	144.51
200000	104857600	47.01
1000000	5242880	167.01
800000	52428800	102.62
10	20971520	35.78
800000	20971520	132.26
1000000	52428800	111.32
40000	10485760	54.12
10	104857600	36.06
600000	52428800	92.67
200000	20971520	83.45
10	10485760	35.95
