SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--threads` = '100'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
600000	5242880	9821.05
800000	20971520	9770.28
200000	52428800	6663.88
200000	104857600	5950.94
40000	104857600	5270.81
10	10485760	5106.8
200000	10485760	8033.55
400000	104857600	6405.54
10	5242880	5064.71
800000	5242880	9718.85
40000	20971520	6374.57
40000	10485760	6886.53
800000	104857600	6715.39
200000	20971520	7615.32
200000	5242880	7970.22
10	52428800	4927.76
1000000	52428800	8773.76
800000	52428800	8071.65
1000000	104857600	6849.86
1000000	10485760	9511.36
400000	10485760	8330.11
400000	5242880	8392.66
1000000	5242880	9277.7
600000	10485760	9557.72
600000	104857600	7452.44
800000	10485760	9273.39
40000	5242880	7601.85
1000000	20971520	8978.71
600000	20971520	8969.55
40000	52428800	5770.87
10	104857600	4956.7
10	20971520	4948.62
600000	52428800	8128.21
400000	20971520	7922.7
400000	52428800	6787.74
