SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--threads` = '100'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1000000	10485760	8686.42
600000	10485760	7946.99
1000000	20971520	9129.08
40000	20971520	6148.78
600000	5242880	9180.53
600000	52428800	7483.96
400000	10485760	8583.29
400000	104857600	6592.12
40000	104857600	5032.4
400000	5242880	8087.24
10	52428800	5024.41
10	20971520	5010.72
40000	52428800	6130.88
200000	5242880	8623.95
200000	20971520	6339.71
200000	104857600	5968.27
40000	5242880	7575.36
10	5242880	5233.05
10	10485760	4888.75
200000	52428800	6289.09
600000	20971520	9212.01
200000	10485760	8660.91
1000000	104857600	8450.56
800000	5242880	9930.21
600000	104857600	6976.46
400000	52428800	6492.61
800000	52428800	7873.69
10	104857600	4766.24
1000000	52428800	9516.45
400000	20971520	7765.59
40000	10485760	7018.27
1000000	5242880	9669.53
800000	10485760	8994.64
800000	104857600	6077.53
800000	20971520	9402.06
