SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '262144' AND `--threads` = '50'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
10	10485760	1920.12
40000	20971520	3020.0
200000	20971520	4755.79
200000	10485760	5668.74
400000	104857600	3238.42
40000	104857600	1726.92
1000000	104857600	3731.47
40000	5242880	4436.53
400000	5242880	6370.97
600000	10485760	7025.03
600000	20971520	5516.52
1000000	10485760	6169.05
400000	52428800	4495.7
10	104857600	1817.64
1000000	5242880	5568.17
1000000	52428800	4008.45
400000	20971520	5684.76
600000	5242880	6530.18
800000	20971520	4908.76
200000	5242880	5696.34
10	20971520	1867.93
200000	104857600	2090.91
40000	10485760	3791.5
1000000	20971520	5478.42
600000	52428800	4866.56
40000	52428800	1979.13
800000	10485760	6291.53
600000	104857600	3809.9
200000	52428800	3672.8
400000	10485760	6891.37
10	5242880	1848.78
800000	5242880	6617.33
10	52428800	1903.32
800000	52428800	4616.29
800000	104857600	4263.43
