SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--threads` = '100'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
800000	10485760	9870.9
10	10485760	5097.44
200000	5242880	8739.91
800000	20971520	9580.57
600000	5242880	9217.06
600000	52428800	7980.38
1000000	104857600	6745.73
600000	10485760	9655.47
800000	104857600	7185.82
600000	20971520	9122.85
10	5242880	4832.18
400000	5242880	9575.24
400000	104857600	6124.66
40000	5242880	7029.81
10	20971520	4679.76
40000	20971520	6008.09
400000	20971520	7987.21
200000	52428800	6287.28
800000	52428800	7417.78
1000000	52428800	7787.92
400000	10485760	8665.58
40000	104857600	5391.86
1000000	20971520	9214.0
400000	52428800	7262.85
40000	52428800	6059.72
1000000	10485760	9879.29
600000	104857600	6805.95
1000000	5242880	10233.02
40000	10485760	7041.01
200000	104857600	5730.93
200000	10485760	8131.5
800000	5242880	9947.78
10	52428800	5195.68
200000	20971520	7340.47
10	104857600	4885.75
