SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--threads` = '1'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
400000	10485760	111.12
1000000	10485760	150.67
1000000	20971520	140.55
800000	5242880	159.67
200000	52428800	58.37
400000	5242880	129.3
40000	10485760	53.86
800000	104857600	86.31
10	5242880	35.59
1000000	104857600	94.5
1000000	5242880	167.44
1000000	52428800	109.33
600000	10485760	133.61
800000	20971520	135.54
10	104857600	35.78
400000	52428800	79.57
200000	5242880	100.66
600000	20971520	120.07
40000	52428800	42.17
600000	5242880	145.68
200000	10485760	87.22
400000	104857600	60.02
800000	52428800	104.46
10	10485760	36.39
40000	5242880	57.64
10	52428800	35.33
600000	52428800	92.14
800000	10485760	140.32
200000	20971520	83.85
400000	20971520	105.54
40000	20971520	50.72
200000	104857600	47.45
600000	104857600	76.96
40000	104857600	40.18
10	20971520	35.93
