SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--threads` = '50'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
200000	104857600	2141.62
40000	5242880	4557.83
10	20971520	1807.43
600000	10485760	5648.77
40000	104857600	2034.19
1000000	5242880	6120.12
10	52428800	1745.64
600000	104857600	3900.15
400000	52428800	4251.69
1000000	104857600	3510.98
40000	10485760	3892.8
600000	52428800	4450.68
400000	20971520	5400.77
1000000	10485760	6167.64
400000	104857600	2959.68
10	104857600	1807.31
1000000	52428800	5614.75
800000	20971520	5029.8
200000	52428800	3499.84
800000	5242880	6848.12
200000	5242880	6173.76
600000	20971520	4833.16
800000	10485760	5149.08
800000	104857600	3875.12
400000	5242880	6808.32
1000000	20971520	5014.25
400000	10485760	6226.01
10	10485760	1782.96
200000	10485760	6419.98
10	5242880	1875.08
40000	52428800	2062.21
800000	52428800	4171.63
40000	20971520	2901.51
200000	20971520	5166.1
600000	5242880	5969.33
