SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--threads` = '1'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
600000	5242880	145.65
400000	10485760	117.13
600000	20971520	121.04
40000	104857600	41.11
400000	5242880	127.87
10	104857600	35.46
40000	10485760	55.1
40000	5242880	59.13
800000	52428800	104.29
400000	104857600	61.22
200000	52428800	58.6
1000000	10485760	150.81
40000	52428800	41.98
200000	104857600	47.73
10	5242880	35.5
10	52428800	36.28
200000	10485760	90.0
200000	5242880	101.81
1000000	20971520	141.52
800000	104857600	87.19
1000000	52428800	112.64
40000	20971520	50.84
10	10485760	35.49
400000	52428800	80.68
800000	20971520	133.71
1000000	104857600	96.73
800000	10485760	141.63
400000	20971520	106.25
600000	10485760	133.55
10	20971520	36.23
600000	104857600	74.63
200000	20971520	82.34
800000	5242880	161.7
1000000	5242880	168.97
600000	52428800	93.17
