SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--threads` = '50'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
800000	104857600	4009.95
1000000	10485760	5337.38
1000000	104857600	3581.94
600000	10485760	6264.02
400000	10485760	6846.42
600000	5242880	6424.31
200000	10485760	5827.14
1000000	5242880	5725.22
200000	52428800	3385.47
800000	20971520	5854.61
10	20971520	1920.88
1000000	52428800	4330.85
10	52428800	1828.73
40000	5242880	4754.55
10	10485760	1866.73
400000	52428800	4913.41
800000	10485760	5419.66
400000	104857600	3121.98
400000	5242880	6396.04
40000	10485760	3972.54
800000	5242880	6686.96
200000	20971520	5611.79
800000	52428800	5069.26
10	104857600	1872.44
200000	104857600	2492.27
600000	20971520	5067.85
40000	104857600	1760.77
1000000	20971520	4980.33
40000	52428800	1990.32
600000	52428800	4745.05
600000	104857600	3600.18
400000	20971520	5336.7
200000	5242880	5708.83
10	5242880	1903.78
40000	20971520	2877.75
