SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '262144' AND `--threads` = '100'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
200000	10485760	7313.93
800000	20971520	8777.01
600000	5242880	8748.38
800000	104857600	6952.2
400000	5242880	8561.14
1000000	52428800	8122.06
40000	52428800	5715.35
800000	10485760	8697.55
40000	10485760	6740.76
200000	5242880	8438.36
600000	10485760	9132.49
600000	20971520	9152.06
40000	5242880	7648.89
600000	52428800	7772.66
400000	20971520	8323.41
400000	52428800	7422.94
40000	104857600	5420.58
10	10485760	4943.55
40000	20971520	6170.36
10	5242880	5233.5
1000000	20971520	9887.37
1000000	104857600	7489.24
400000	104857600	6968.99
10	20971520	5191.72
200000	104857600	6130.01
200000	52428800	6653.23
600000	104857600	7275.64
800000	52428800	8559.89
1000000	5242880	10432.02
200000	20971520	7642.25
800000	5242880	10364.33
10	52428800	4958.54
10	104857600	4816.92
1000000	10485760	9284.2
400000	10485760	8058.21
