SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '262144' AND `--threads` = '1'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
10	20971520	35.47
200000	104857600	47.3
400000	10485760	115.81
400000	104857600	62.79
40000	52428800	41.85
600000	104857600	74.39
800000	52428800	103.45
200000	5242880	100.4
1000000	52428800	111.96
40000	104857600	40.94
10	10485760	35.45
400000	52428800	80.34
40000	20971520	50.35
600000	10485760	130.65
200000	20971520	81.83
600000	52428800	91.02
600000	20971520	122.35
1000000	5242880	166.27
400000	5242880	130.59
1000000	104857600	96.14
10	104857600	35.68
800000	5242880	161.35
10	52428800	35.65
1000000	20971520	142.74
40000	10485760	54.37
800000	104857600	86.64
800000	10485760	143.84
800000	20971520	130.86
200000	52428800	58.94
600000	5242880	146.29
40000	5242880	57.18
400000	20971520	104.29
200000	10485760	88.06
1000000	10485760	150.3
10	5242880	36.29
